"","date","fog","rain","snow","snowfallm","snowfalli","monthtodatesnowfallm","monthtodatesnowfalli","since1julsnowfallm","since1julsnowfalli","snowdepthm","snowdepthi","hail","thunder","tornado","meantempm","meantempi","meandewptm","meandewpti","meanpressurem","meanpressurei","meanwindspdm","meanwindspdi","meanwdire","meanwdird","meanvism","meanvisi","humidity","maxtempm","maxtempi","mintempm","mintempi","maxhumidity","minhumidity","maxdewptm","maxdewpti","mindewptm","mindewpti","maxpressurem","maxpressurei","minpressurem","minpressurei","maxwspdm","maxwspdi","minwspdm","minwspdi","maxvism","maxvisi","minvism","minvisi","gdegreedays","heatingdegreedays","coolingdegreedays","precipm","precipi","precipsource","heatingdegreedaysnormal","monthtodateheatingdegreedays","monthtodateheatingdegreedaysnormal","since1sepheatingdegreedays","since1sepheatingdegreedaysnormal","since1julheatingdegreedays","since1julheatingdegreedaysnormal","coolingdegreedaysnormal","monthtodatecoolingdegreedays","monthtodatecoolingdegreedaysnormal","since1sepcoolingdegreedays","since1sepcoolingdegreedaysnormal","since1jancoolingdegreedays","since1jancoolingdegreedaysnormal"
"16","12:00 PM EST on January 16, 2016","0","1","0","T","T","0.76","0.30","3.05","1.20","","","0","0","0","4","39","2","36","999","29.50","15","9","","335","10","6","","6","43","1","34","100","79","5","41","-3","27","1005","29.68","993","29.34","34","21","0","0","16","10","2","2","0","26","0","30.99","1.22","","36","502","572","","","1960","2566","0","0","0","","","0","0"
"17","12:00 PM EST on January 17, 2016","0","0","1","3.30","1.30","4.06","1.60","6.35","2.50","","","0","0","0","1","34","-5","23","1007","29.74","15","9","","327","11","7","","3","38","-2","29","92","51","-3","27","-8","18","1012","29.89","1003","29.62","24","15","8","5","16","10","2","1","0","31","0","2.54","0.10","","36","533","608","","","1991","2602","0","0","0","","","0","0"
"18","12:00 PM EST on January 18, 2016","0","0","1","4.57","1.80","8.64","3.40","10.92","4.30","","","0","0","0","-4","24","-8","17","1003","29.61","27","17","","288","9","6","","-2","29","-7","19","92","36","-4","25","-18","0","1006","29.72","1001","29.57","48","30","11","7","16","10","1","1","0","41","0","2.79","0.11","","36","574","644","","","2032","2638","0","0","0","","","0","0"
"19","12:00 PM EST on January 19, 2016","0","0","0","0.00","0.00","8.64","3.40","10.92","4.30","","","0","0","0","-6","21","-16","3","1007","29.75","35","22","","280","16","10","","-4","25","-9","16","53","40","-15","5","-17","1","1012","29.90","1005","29.68","50","31","21","13","16","10","16","10","0","44","0","0.00","0.00","","36","618","680","","","2076","2674","0","0","0","","","0","0"
"20","12:00 PM EST on January 20, 2016","0","0","0","0.00","0.00","8.64","3.40","10.92","4.30","","","0","0","0","-3","26","-14","7","1016","30.00","30","19","","295","16","10","","1","33","-7","19","56","33","-13","9","-14","6","1019","30.09","1013","29.91","45","28","16","10","16","10","16","10","0","39","0","0.00","0.00","","36","657","716","","","2115","2710","0","0","0","","","0","0"
"21","12:00 PM EST on January 21, 2016","0","0","0","0.00","0.00","8.64","3.40","10.92","4.30","","","0","0","0","-3","27","-14","7","1017","30.04","22","14","","305","16","10","","1","33","-6","21","57","30","-13","9","-16","3","1020","30.12","1016","30.00","39","24","11","7","16","10","16","10","0","38","0","0.00","0.00","","36","695","752","","","2153","2746","0","0","0","","","0","0"
"22","12:00 PM EST on January 22, 2016","0","0","0","0.00","0.00","8.64","3.40","10.92","4.30","","","0","0","0","-3","26","-14","6","1022","30.18","19","12","","318","16","10","","0","32","-7","19","51","32","-13","8","-16","4","1024","30.24","1021","30.14","39","24","11","7","16","10","16","10","0","39","0","0.00","0.00","","36","734","788","","","2192","2782","0","0","0","","","0","0"
"23","12:00 PM EST on January 23, 2016","1","0","1","15.49","6.10","24.13","9.50","26.42","10.40","","","0","0","0","-3","26","-7","20","1012","29.88","33","20","","19","9","5","","0","32","-7","20","100","50","-2","28","-13","8","1022","30.17","1006","29.72","58","36","13","8","16","10","0","0","0","39","0","9.40","0.37","","36","773","824","","","2231","2818","0","0","0","","","0","0"
"24","12:00 PM EST on January 24, 2016","0","0","1","T","T","24.13","9.50","26.42","10.40","","","0","0","0","-3","27","-14","7","1011","29.86","18","11","","337","15","10","","2","36","-8","18","77","27","-9","16","-17","1","1017","30.03","1006","29.72","45","28","6","4","16","10","5","3","0","38","0","T","T","","36","811","860","","","2269","2854","0","0","0","","","0","0"
"25","12:00 PM EST on January 25, 2016","0","0","0","0.00","0.00","24.13","9.50","26.42","10.40","","","0","0","0","-1","31","-8","18","1024","30.23","11","7","","220","16","10","","2","35","-3","26","75","39","-3","26","-12","10","1026","30.30","1017","30.04","23","14","0","0","16","10","16","10","0","34","0","0.00","0.00","","36","845","896","","","2303","2890","0","0","0","","","0","0"
