Crash Number,City/Town Name,Crash Date,Crash Time,Crash Severity,Number of Vehicles,Total Nonfatal Injuries,Total Fatal Injuries,Manner of Collision,Vehicle Action Prior to Crash,Vehicle Travel Directions,Most Harmful Events,Vehicle Configuration,Road Surface Condition,Ambient Light,Weather Condition,At Roadway Intersection,Distance from Nearest Roadway Intersection,Distance from Nearest Milemarker,Distance from Nearest Exit,Distance from Nearest Landmark,Non Motorist Type,X Coordinate,Y Coordinate
3726706,BOSTON,01-Jan-2014,3:00 AM,Not Reported,1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Eastbound ,V1: Collision with guardrail ,V1: Passenger car,Dry,Dark - lighted roadway,Clear,,MASSACHUSETTS TURNPIKE Rte I90 E,,Exit IC 19 on Rte 90 EB,RAN INTO GUARDRAIL,,231251.21156,900789.69548
3713403,BOSTON,01-Jan-2014,3:36 AM,Non-fatal injury,2,1,0,Rear-end,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Eastbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Clear,,Rte 90 E / UNKNOWN,,,,,239023.31587,902297.36925
3726446,BOSTON,01-Jan-2014,3:54 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Leaving traffic lane,V1:Southbound ,V1: Collision with median barrier ,V1: Passenger car,Dry,Dark - lighted roadway,Clear,,Rte 93 S,,Exit 15 on Rte 93,,,236629.62530,897168.50008
3712644,BOSTON,01-Jan-2014,4:02 AM,Non-fatal injury,2,1,0,Angle,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Eastbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Dark - lighted roadway,Clear,,FRONTAGE ROAD / SOUTH BOSTON BYPASS ROAD,,,SOUTH BOSTON BY PASS ROAD,,235950.95240,898250.42149
3712643,BOSTON,01-Jan-2014,4:43 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Eastbound ,V1: Collision with motor vehicle in traffic ,V1: Passenger car,Dry,Dark - lighted roadway,Not Reported,,STORROW DRIVE / DAVID G MUGAR WAY,,,,,235214.68156,900915.47008
3759333,BOSTON,01-Jan-2014,5:30 AM,Not Reported,1,0,0,Not reported,V1: Travelling straight ahead,V1:Westbound ,V1: Not reported ,V1: Passenger car,Dry,Dawn,Clear,,100 feet W from Intersection 240 KELTON STREET / COREY STREET,,,,P2:Pedestrian,229987.30770,899616.73936
3745932,BOSTON (ROXBURY),01-Jan-2014,7:00 AM,Non-fatal injury,2,1,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Bus (seats for more than 15 people, including driver)",Dry,Daylight,Clear,,2387 WASHINGTON STREET,,,50 feet W from DUDLEY STATION,,234209.49992,897702.16542
3775729,BOSTON,01-Jan-2014,2:00 PM,Not Reported,1,0,0,Angle,V1: Unknown,V1:Not reported ,V1: Collision with other movable object ,V1: Unknown vehicle configuration,Dry,Daylight,Clear,MASSACHUSETTS AVENUE / PROCTOR STREET,,,,,,235646.62575,897542.31832
3711903,BOSTON,01-Jan-2014,5:15 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Entering traffic lane / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Clear,,Rte 93 N / UNKNOWN,,Exit 15 on Rte 93 N,,,236972.24960,896473.42822
3714992,BOSTON,02-Jan-2014,5:40 AM,Property damage only (none injured),3,0,0,Rear-end,V1: Travelling straight ahead / V2:Travelling straight ahead / V3:Travelling straight ahead,V1:Southbound / V2:Southbound / V3:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with median barrier / V3: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car / V3:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Snow,Dark - lighted roadway,"Snow/Blowing sand, snow",,Rte 93 S / UNKNOWN,,Exit 13 on Rte 93 S,,,237399.88656,894072.47201
3763133,BOSTON (DORCHESTER),02-Jan-2014,9:05 AM,Non-fatal injury,2,1,0,Head-on,V1: Slowing or stopped in traffic / V2:Overtaking/passing,V1:Eastbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Snow,Daylight,Snow,,439 QUINCY STREET,,,,,235708.17320,895559.46134
3717462,BOSTON,02-Jan-2014,9:05 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Eastbound ,V1: Collision with median barrier ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Snow,Daylight,Not Reported,,Rte 90 E,Rte 90  E Milemarker 137.0,,,,239158.72822,901670.44045
3711906,BOSTON,02-Jan-2014,9:05 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Not reported,V1:Southbound ,V1: Collision with utility pole ,V1: Passenger car,Snow,Daylight,Snow,,LA GRANGE STREET Rte UNKNOW / ENNEKING PARKWAY BRANCH,,,,,229395.12520,891436.37476
3713458,BOSTON,02-Jan-2014,9:08 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Westbound ,V1: Collision with guardrail ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Snow,Daylight,Snow,,Rte 90 W / UNKNOWN,,,,,229752.05828,900842.79848
3749979,BOSTON,02-Jan-2014,9:43 AM,Property damage only (none injured),2,0,0,Angle,V1: Slowing or stopped in traffic / V2:Not reported,V1:Northbound / V2:Not reported ,V1: Collision with motor vehicle in traffic / V2: Not reported ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Not reported",Snow,Daylight,Cloudy/Snow,,JAMAICAWAY / BYNNER STREET,,,,,231761.92206,897172.37487
3712642,BOSTON,02-Jan-2014,9:45 AM,Non-fatal injury,2,1,0,Head-on,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Southbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car",Snow,Daylight,Snow,,RIVERWAY,,,,,231989.00999,898153.03759
3710207,BOSTON,02-Jan-2014,9:57 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Ice,Daylight,"Snow/Sleet, hail (freezing rain or drizzle)",,TEMPORARY RAMP Rte 1 N / MAURICE TOBIN BRIDGE,,,,,235848.14063,902282.23359
3712313,BOSTON,02-Jan-2014,10:15 AM,Property damage only (none injured),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Not reported / V2: Not reported ,V1: Passenger car / V2:Truck/trailer,Snow,Daylight,Clear/Snow,ARBORWAY / CENTRE STREET,,,,,,231152.57902,895470.31217
3714091,BOSTON,02-Jan-2014,10:15 AM,Non-fatal injury,2,1,0,Rear-end,V1: Slowing or stopped in traffic / V2:Slowing or stopped in traffic,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Snow,Daylight,Snow,CAMBRIDGE STREET / RAMP-RT 90 TO CAMBRIDGE ST EB / RAMP-CAMBRIDGE ST TO SOLDIERS FIELD RD E,,,,CAMBRIDGE STREET,,231486.27144,901228.69682
3713465,BOSTON,02-Jan-2014,11:48 AM,Property damage only (none injured),2,0,0,Angle,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Eastbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Snow,Daylight,Cloudy/Snow,,Rte 90 E / UNKNOWN,,,,,232547.86857,899858.44083
3720903,BOSTON (DORCHESTER),02-Jan-2014,11:53 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Bus (seats for 7-15 people, including driver)",Snow,Daylight,Snow,BOWDOIN STREET / GENEVA AVENUE,,,,,,235337.17192,894858.18750
3714092,BOSTON,02-Jan-2014,12:09 PM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Eastbound ,V1: Collision with motor vehicle in traffic ,V1: Passenger car,Snow,Daylight,Snow,STORROW DRIVE / CHARLESGATE WEST,,,,KENMORE,,233331.51586,900085.81246
3717835,BOSTON,02-Jan-2014,12:10 PM,Non-fatal injury,1,1,0,Not reported,V1: Not reported,V1:Not reported ,V1: Not reported ,V1: Not reported,Snow,Daylight,Snow,,STANIFORD STREET,,,LINDEMANN HURLEY PLAZA,P1:Pedestrian,235932.02895,901392.61606
3711907,BOSTON,02-Jan-2014,1:10 PM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Not reported,V1:Northbound ,V1: Collision with tree ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Snow,Daylight,Snow,,95 TURTLE POND PARKWAY,,,OLSEN POOL,,229770.20453,888804.31401
3768120,BOSTON,02-Jan-2014,1:25 PM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Turning left,V1:Eastbound ,V1: Collision with light pole or other post/support ,V1: Passenger car,Snow,Daylight,"Snow/Blowing sand, snow",BOWDOIN STREET / DERNE STREET,,,,,,236010.29679,901090.37490
3712308,BOSTON,02-Jan-2014,2:00 PM,Property damage only (none injured),2,0,0,Angle,V1: Turning right / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Not reported / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car",Snow,Daylight,Snow,COMMONWEALTH AVENUE / DARTMOUTH STREET,,,,,,234742.07432,900259.05074
3783225,BOSTON,02-Jan-2014,3:20 PM,Not Reported,1,0,0,Single vehicle crash,V1: Not reported,V1:Not reported ,V1: Not reported ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Snow,Daylight,Snow,QUINCY STREET / STANLEY STREET,,,,,,235557.65602,895676.31230
3711111,BOSTON,02-Jan-2014,3:52 PM,Property damage only (none injured),1,0,0,Angle,V1: Travelling straight ahead,V1:Westbound ,V1: Other ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Snow,Dusk,Snow,,RAMP - LEVERETT CONNECTOR TO STORROW DRI Rte SR3A N / EMBANKMENT ROAD Rte SR3A N,,,LEVERETT TUNNEL TO STORROW DRIVE,,235550.63316,901853.04748
3713473,BOSTON,02-Jan-2014,3:55 PM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1:Eastbound ,V1: Collision with light pole or other post/support ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Snow,Dusk,Snow,,MORTON STREET Rte SR203 E / RAMP - RT 203 EB TO AMERICAN LEGION HWY,,,AMERICAN LEGION HWY,,233326.39698,893573.15115
3775727,BOSTON (SOUTH BOSTON),02-Jan-2014,5:05 PM,Not Reported,2,0,0,Angle,V1: Travelling straight ahead / V2:Slowing or stopped in traffic,V1:Eastbound / V2:Not reported ,V1: Not reported / V2: Not reported ,"V1: Passenger car / V2:Unknown heavy truck, cannot classify",Snow,Dark - lighted roadway,Snow,,400 D STREET,,,,,237417.94926,899268.53544
3720709,BOSTON,02-Jan-2014,8:26 PM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Westbound ,V1: Collision with guardrail ,V1: Tractor/semi-trailer,Snow,Dark - unknown roadway lighting,Snow,,Rte 90 W,Rte 90  W Milemarker 132.0,,EXITING PRUDENTIAL TUNNEL,,232572.21818,899870.48833
3714084,BOSTON,02-Jan-2014,10:40 PM,Property damage only (none injured),2,0,0,Angle,V1: Travelling straight ahead / V2:Other,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Snow,Dark - lighted roadway,Cloudy/Snow,,Rte 93 S / UNKNOWN,,,,,236518.14380,900338.24280
3716877,BOSTON,02-Jan-2014,11:15 PM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Southbound ,V1: Collision with light pole or other post/support ,V1: Passenger car,Snow,Dark - lighted roadway,Snow,JAMAICAWAY / BYNNER STREET,,,,,,231761.92200,897172.37476
3716878,BOSTON,03-Jan-2014,00:00 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Turning left,V1:Northbound ,V1: Collision with curb ,V1: Passenger car,Snow,Dark - lighted roadway,Snow,,CHARLESGATE OVERPASS Rte UNKNOW N / BOYLSTON STREET,,,,,233594.03669,899755.78301
3715420,BOSTON,03-Jan-2014,00:00 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Southbound ,V1: Collision with median barrier ,"V1: Single-unit truck (2-axle, 6-tire)",Snow,Dark - lighted roadway,Snow,,Rte 93 S,,Exit 15 on Rte 93,ENTER TO HOV,,236629.62530,897168.50008
3715405,BOSTON,03-Jan-2014,3:44 AM,Property damage only (none injured),2,0,0,"Sideswipe, same direction",V1: Overtaking/passing / V2:Other,V1:Eastbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Truck/trailer / V2:Single-unit truck (2-axle, 6-tire)",Snow,Dark - lighted roadway,Snow,,MASSACHUSETTS TURNPIKE Rte 90 E,,Exit 18 on Rte 90 E,,,230855.35334,900804.56283
