Crash Number,City/Town Name,Crash Date,Crash Time,Crash Severity,Number of Vehicles,Total Nonfatal Injuries,Total Fatal Injuries,Manner of Collision,Vehicle Action Prior to Crash,Vehicle Travel Directions,Most Harmful Events,Vehicle Configuration,Road Surface Condition,Ambient Light,Weather Condition,At Roadway Intersection,Distance from Nearest Roadway Intersection,Distance from Nearest Milemarker,Distance from Nearest Exit,Distance from Nearest Landmark,Non Motorist Type,X Coordinate,Y Coordinate
2858373,BOSTON,01-Jan-2012,00:00 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Westbound ,V1: Collision with curb ,V1: Passenger car,Dry,Dark - roadway not lighted,Not Reported,,MORTON STREET / CANTERBURY STREET,,,,,233302.15573,893677.64503
2855641,BOSTON,01-Jan-2012,1:31 AM,Property damage only (none injured),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2:Changing lanes,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Clear,,LEVERETT CONNECTOR NORTH / INTERSTATE 93 Rte 93 N,,,,,234816.01741,903323.27822
2964895,BOSTON (ROXBURY),01-Jan-2012,1:54 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Turning right / V2:Travelling straight ahead,V1:Northbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Unknown ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Clear/Clear,INTERVALE STREET / BLUE HILL AVENUE,,,,,,234564.29666,895796.75006
2956331,BOSTON,01-Jan-2012,2:00 AM,Non-fatal injury,2,1,0,Angle,V1: Travelling straight ahead / V2:Turning left,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Cloudy/Cloudy,,870 MASSACHUSETTS AVENUE / THEODORE GLYNN WAY,,,,,235438.69185,897873.16762
2842066,BOSTON,01-Jan-2012,6:58 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Westbound ,V1: Collision with curb ,V1: Passenger car,Wet,Daylight,Clear,,SOLDIERS FIELD ROAD / UNIVERSITY ROAD,,,,,,
2967558,BOSTON,01-Jan-2012,8:02 AM,Non-fatal injury,1,1,0,Not reported,V1: Travelling straight ahead,V1:Southbound ,"V1: Collision with other fixed object (wall, building, tunnel, etc.) ","V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Not reported,Not reported,Not Reported,LA GRANGE STREET / LARKHILL ROAD,,,,,,229013.2971,891765.6875
2841999,BOSTON,01-Jan-2012,8:22 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Eastbound ,V1: Collision with motor vehicle in traffic ,V1: Passenger car,Ice,Daylight,Cloudy,,Rte 90 E,,,,,226556.6698,900854.5103
2855570,BOSTON,01-Jan-2012,8:46 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Slowing or stopped in traffic,V1:Westbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Clear,,Rte 90 W,,Exit 20 on Rte 90 W,U-TURN,,231452.5043,900558.3732
2897941,BOSTON,01-Jan-2012,8:46 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Westbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car",Dry,Daylight,Clear,,MASSACHUSETTS TURNPIKE Rte 90 W / ALLSTON TOLL PLAZA,,Exit IC 20 on Rte 90 W,EXIT 20,,231450.7381,900562.1894
2967573,BOSTON,01-Jan-2012,9:00 AM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Not reported,V1:Not reported ,V1: Not reported ,V1: Not reported,Dry,Daylight,Clear,HARRISON AVENUE / NASSAU STREET,,,,,P2:Pedestrian,236063.0471,899888.2501
2995269,BOSTON (ALLSTON),01-Jan-2012,6:30 PM,Non-fatal injury,3,1,0,Unknown,V1: Turning left / V2:Parked / V3:Not reported,V1:Eastbound / V2:Not reported / V3:Not reported ,V1: Collision with parked motor vehicle / V2: Not reported / V3: Not reported ,V1: Passenger car / V2:Passenger car / V3:Not reported,Wet,Dawn,Clear/Rain,,1568 COMMONWEALTH AVENUE,,,,,229476.2163,899364.6584
2855845,BOSTON,01-Jan-2012,9:25 PM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Northbound ,V1: Collision with guardrail ,V1: Passenger car,Dry,Dark - lighted roadway,Clear,,Rte 93 N,,Exit 23 on Rte 93,,,236935.489,901011.4131
2855571,BOSTON,02-Jan-2012,2:36 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Turning right,V1:Northbound ,V1: Collision with median barrier ,V1: Passenger car,Wet,Dark - lighted roadway,Other,,Rte 93 N,,,,,236981.8181,900636.0429
2958460,BOSTON (SOUTH BOSTON),02-Jan-2012,9:30 AM,Property damage only (none injured),2,0,0,"Sideswipe, same direction",V1: Backing / V2:Parked,V1:Not reported / V2:Not reported ,V1: Collision with parked motor vehicle / V2: Collision with parked motor vehicle ,V1: Truck/trailer / V2:Passenger car,Dry,Daylight,Cloudy,,HOWELL STREET,,,,,,
2877932,BOSTON (DORCHESTER),02-Jan-2012,5:23 PM,Non-fatal injury,2,2,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Not reported / V2: Not reported ,"V1: Bus (seats for more than 15 people, including driver) / V2:Passenger car",Dry,Dark - lighted roadway,Clear,WASHINGTON STREET / ROSEDALE STREET,,,,,,235311.0625,893686.625
2845782,BOSTON,03-Jan-2012,6:15 AM,Property damage only (none injured),5,0,0,Angle,V1: Changing lanes / V2:Slowing or stopped in traffic / V3:Slowing or stopped in traffic / V4:Travelling straight ahead / V5:Slowing or stopped in traffic,V1:Northbound / V2:Northbound / V3:Northbound / V4:Northbound / V5:Northbound ,V1: Collision with median barrier / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic / V4: Collision with motor vehicle in traffic / V5: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Passenger car / V3:Passenger car / V4:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V5:Passenger car",Dry,Dark - lighted roadway,Clear,,Rte 93 N,,Exit 11 on Rte 93 N,,,237113.1203,891743.2618
